iter	Logloss
0	0.6599990377
1	0.6304149417
2	0.6034513883
3	0.5782015935
4	0.5559702399
5	0.5356030798
6	0.5173853868
7	0.499701115
8	0.4843932825
9	0.4712160637
10	0.4574931139
11	0.4448931548
12	0.433973516
13	0.4230995787
14	0.4143708305
15	0.405694112
16	0.397832035
17	0.3906564631
18	0.3843824047
19	0.3781130551
20	0.3724644854
21	0.3670957507
22	0.3612196753
23	0.3562640325
24	0.3525709655
25	0.3491623674
26	0.3452727523
27	0.3416326137
28	0.3387339118
29	0.3355438045
30	0.3327471774
31	0.3300450144
32	0.326763785
33	0.3245905121
34	0.3223756755
35	0.319910576
36	0.3178025837
37	0.3158549397
38	0.3144473257
39	0.3115594782
40	0.3100955987
41	0.3078259427
42	0.3069140382
43	0.3055025066
44	0.3033223205
45	0.301991609
46	0.3008433336
47	0.3001645468
48	0.2985555029
49	0.2977133675
50	0.2959351756
51	0.295164794
52	0.2936858008
53	0.2925781671
54	0.2913023685
55	0.2904264392
56	0.2894701484
57	0.2883823839
58	0.2871187456
59	0.2859361192
60	0.2850844541
61	0.2841363404
62	0.2834704206
63	0.2825269266
64	0.2815343003
65	0.2810630845
66	0.2805338386
67	0.2800413682
68	0.2789800679
69	0.2779487844
70	0.2771859573
71	0.2768179537
72	0.2761207768
73	0.2755217289
74	0.2750657626
75	0.2744772741
76	0.274165611
77	0.2733590249
78	0.2727078116
79	0.2722073561
80	0.2715460186
81	0.2708296981
82	0.2702802646
83	0.2699031526
84	0.2695843281
85	0.2691307817
86	0.268609694
87	0.2681950388
88	0.2677748651
89	0.2674262205
90	0.2670097726
91	0.2665094294
92	0.2658574578
93	0.2649392578
94	0.2645808027
95	0.2641807322
96	0.2635272582
97	0.2630833912
98	0.2627133937
99	0.2624192454
100	0.2620436546
101	0.2618165935
102	0.2614291841
103	0.2608877872
104	0.2605191377
105	0.2601554917
106	0.2600378727
107	0.259652036
108	0.2592833864
109	0.2586576684
110	0.2579515469
111	0.2576858567
112	0.2573149137
113	0.2566335011
114	0.2562538896
115	0.2556239216
116	0.2553919178
117	0.2549785497
118	0.2544448712
119	0.2540752153
120	0.253580077
121	0.2532432182
122	0.2528268124
123	0.2525541575
124	0.2521313673
125	0.2518741537
126	0.2514156552
127	0.2509077294
128	0.2505330045
129	0.250273357
130	0.2500352356
131	0.2496870123
132	0.2493875749
133	0.2489072414
134	0.2486111413
135	0.2480843948
136	0.2478460955
137	0.2475748636
138	0.2472426572
139	0.24688819
140	0.2466794535
141	0.2464563335
142	0.246188069
143	0.245894693
144	0.2457401814
145	0.2454405521
146	0.2453024601
147	0.2449227643
148	0.2444821223
149	0.2443401875
150	0.2440522691
151	0.2437823571
152	0.2433599882
153	0.2427978703
154	0.2425883334
155	0.2422907917
156	0.2419823769
157	0.2416054802
158	0.2413787795
159	0.2411627787
160	0.2409347909
161	0.2407540304
162	0.2405418349
163	0.2403564219
164	0.2400959319
165	0.2398411663
166	0.2396188935
167	0.2394126845
168	0.2391400062
169	0.2387118287
170	0.2384220474
171	0.2380944703
172	0.2379083458
173	0.237685647
174	0.2375427948
175	0.2374308674
176	0.2372207454
177	0.2369082913
178	0.2366833599
179	0.2363592323
180	0.2360552173
181	0.2357076025
182	0.2355219039
183	0.235206721
184	0.2350164355
185	0.2347349576
186	0.2345128486
187	0.2343291955
188	0.2340485742
189	0.2338574883
190	0.2335946955
191	0.2333049236
192	0.2330486461
193	0.232854354
194	0.2326755313
195	0.2323861573
196	0.2321660656
197	0.2318559377
198	0.2315891991
199	0.2313793721
200	0.231125243
201	0.2309368063
202	0.2307575998
203	0.2305784354
204	0.230226065
205	0.2300162286
206	0.22979983
207	0.2295787601
208	0.2293320217
209	0.2291642733
210	0.2288984521
211	0.2287716918
212	0.2284774125
213	0.2280794109
214	0.2277756205
215	0.2275814876
216	0.2271230826
217	0.227052148
218	0.2268962228
219	0.2267832142
220	0.2264083581
221	0.2262057158
222	0.2259798389
223	0.2258423694
224	0.2253575424
225	0.2252173863
226	0.2248065551
227	0.224552749
228	0.2243096755
229	0.2241220954
230	0.22399475
231	0.2236443549
232	0.2234797612
233	0.2232879124
234	0.2231385447
235	0.223044516
236	0.2229254506
237	0.2227660431
238	0.2225656568
239	0.2223924789
240	0.2222641272
241	0.2220775628
242	0.2219938922
243	0.2217129245
244	0.2215062241
245	0.2211105206
246	0.2208912996
247	0.2206636909
248	0.2205527089
249	0.2204316871
250	0.2202883995
251	0.2200423071
252	0.2198139635
253	0.219594148
254	0.2194968194
255	0.2193436605
256	0.2191442478
257	0.21908479
258	0.218909665
259	0.2187091149
260	0.218574215
261	0.2183727007
262	0.2183052812
263	0.2181981841
264	0.2180625401
265	0.2178503774
266	0.2176978925
267	0.2175808819
268	0.217391935
269	0.2170310974
270	0.2169307451
271	0.2166215955
272	0.2164842805
273	0.2162632854
274	0.2161077628
275	0.2159233795
276	0.2158053767
277	0.2155188391
278	0.2153658019
279	0.2152235113
280	0.2151004861
281	0.214868693
282	0.2147299176
283	0.2145696394
284	0.2144035339
285	0.2142563007
286	0.214096177
287	0.2140040579
288	0.2138080012
289	0.2136841522
290	0.2134863637
291	0.2133533501
292	0.2131229705
293	0.2129664088
294	0.212724454
295	0.2125771645
296	0.2123978223
297	0.2121802348
298	0.2120096874
299	0.2118981671
300	0.2116952206
301	0.2115797312
302	0.2113489163
303	0.2111720875
304	0.2108777005
305	0.210712812
306	0.2106331106
307	0.2105217916
308	0.2102864833
309	0.2101158376
310	0.2099408296
311	0.209695706
312	0.2094145558
313	0.2091688847
314	0.2090270481
315	0.2089490083
316	0.208802112
317	0.2086763019
318	0.2084668072
319	0.2082861216
320	0.2081010362
321	0.2079474841
322	0.2078071126
323	0.2074778925
324	0.2072876351
325	0.207162822
326	0.2069172912
327	0.2068127919
328	0.2067048945
329	0.2065871537
330	0.206468753
331	0.2061881083
332	0.2059881292
333	0.2058605124
334	0.2057272133
335	0.2055444401
336	0.2053913702
337	0.2052078013
338	0.2049846953
339	0.2048811743
340	0.2046987709
341	0.2045478587
342	0.2043673322
343	0.204230635
344	0.2040929034
345	0.2038634131
346	0.2037222459
347	0.2035326952
348	0.2033786984
349	0.2032254599
350	0.2030999868
351	0.2029840575
352	0.2028866867
353	0.2027286927
354	0.202589468
355	0.2024386775
356	0.2023444287
357	0.2022440296
358	0.20204523
359	0.2019206696
360	0.201671825
361	0.2014954971
362	0.2012835637
363	0.2011730639
364	0.2010119573
365	0.2008238248
366	0.2006581921
367	0.2005647905
368	0.2003740603
369	0.2003071276
370	0.2001328404
371	0.1999091821
372	0.1997686515
373	0.199558801
374	0.1994223378
375	0.1992927083
376	0.1990909506
377	0.1989424676
378	0.1988378373
379	0.1987131365
380	0.1985756669
381	0.1984422461
382	0.1982776525
383	0.198221883
384	0.1980952444
385	0.1980168442
386	0.1978969223
387	0.197744545
388	0.1976775234
389	0.1975464288
390	0.1974036094
391	0.1971925934
392	0.1970769309
393	0.1969452232
394	0.1968382572
395	0.1967373854
396	0.196541661
397	0.1964241262
398	0.1963449958
399	0.1962281303
400	0.1961560349
401	0.1960839675
402	0.1959803763
403	0.195853719
404	0.1957412252
405	0.1956074627
