iter	Passed	Remaining
0	36	36415
1	44	22180
2	51	17131
3	58	14660
4	66	13143
5	73	12169
6	80	11484
7	88	10999
8	96	10651
9	106	10518
10	113	10181
11	119	9867
12	126	9604
13	132	9312
14	137	9022
15	141	8727
16	146	8468
17	150	8224
18	155	8005
19	159	7801
20	163	7620
21	167	7460
22	172	7311
23	176	7171
24	180	7047
25	185	6930
26	189	6821
27	193	6720
28	197	6625
29	202	6539
30	206	6454
31	210	6375
32	214	6298
33	219	6223
34	223	6161
35	227	6098
36	231	6036
37	236	5991
38	241	5940
39	246	5905
40	250	5856
41	254	5812
42	259	5767
43	263	5723
44	267	5680
45	271	5636
46	276	5598
47	280	5559
48	284	5522
49	288	5487
50	293	5452
51	297	5419
52	303	5415
53	307	5395
54	312	5364
55	316	5334
56	321	5310
57	325	5285
58	329	5257
59	333	5230
60	338	5206
61	342	5180
62	346	5156
63	350	5132
64	355	5108
65	359	5085
66	363	5061
67	367	5038
68	372	5022
69	377	5011
70	381	4991
71	385	4969
72	389	4950
73	394	4933
74	398	4914
75	402	4895
76	406	4875
77	410	4857
78	414	4837
79	419	4820
80	423	4808
81	429	4803
82	433	4793
83	438	4779
84	443	4771
85	447	4758
86	452	4744
87	456	4730
88	460	4714
89	464	4698
90	469	4684
91	473	4669
92	477	4653
93	481	4640
94	485	4626
95	490	4616
96	494	4604
97	498	4589
98	502	4574
99	507	4567
100	512	4557
101	516	4544
102	520	4532
103	524	4521
104	528	4508
105	532	4494
106	536	4481
107	541	4468
108	545	4457
109	549	4446
110	553	4434
111	557	4422
112	561	4410
113	566	4403
114	572	4404
115	577	4399
116	581	4388
117	585	4377
118	589	4367
119	594	4357
120	598	4345
121	602	4334
122	606	4325
123	610	4314
124	614	4303
125	618	4292
126	623	4282
127	627	4272
128	632	4271
129	636	4262
130	643	4268
131	647	4260
132	652	4254
133	657	4251
134	662	4242
135	666	4235
136	671	4227
137	675	4218
138	679	4211
139	684	4206
140	688	4196
141	693	4190
142	697	4182
143	702	4173
144	707	4174
145	713	4172
146	718	4171
147	723	4164
148	729	4163
149	734	4164
150	740	4164
151	749	4183
152	755	4180
153	762	4189
154	776	4233
155	787	4258
156	794	4265
157	801	4271
158	816	4320
159	830	4357
160	838	4371
161	849	4392
162	858	4409
163	866	4415
164	871	4411
165	877	4407
166	882	4403
167	887	4393
168	893	4392
169	898	4387
170	903	4381
171	909	4376
172	913	4368
173	918	4361
174	923	4353
175	928	4346
176	933	4341
177	938	4334
178	945	4334
179	949	4327
180	954	4319
181	959	4314
182	965	4309
183	970	4303
184	975	4295
185	980	4291
186	985	4285
187	992	4285
188	997	4279
189	1001	4269
190	1007	4265
191	1012	4262
192	1018	4257
193	1023	4250
194	1028	4246
195	1034	4242
196	1040	4241
197	1046	4237
198	1051	4233
199	1056	4227
200	1061	4221
201	1067	4216
202	1076	4224
203	1082	4222
204	1089	4223
205	1095	4223
206	1103	4225
207	1109	4225
208	1118	4231
209	1124	4229
210	1130	4225
211	1135	4221
